sku,price,ProductTitle,Designer,category,template,ReferenceCode,in_stock
2932,1820.00," Fendi Ricami Spy Bag Black Beaded & Calf Leather & Patent Leather Satchel ",Fendi,Handbags,Handbags,51947-2932-PNTM-MZ,1
5642,20.00," Morle White Leather Clutch ",Morle,Handbags,Handbags,53060-5642-PM-SL,1
8999,742.50," Marc Jacobs Stam Black Quilted Leather Shoulder Bag ","Marc Jacobs",Handbags,Handbags,55059-8999-NTM-MZ,1
11750,240.00,"Gucci GG Canvas & Leather Tote",Gucci,Handbags,Handbags,56738-11750-PSB-MZ,1
12082,1170.00,"H. Flitter Yellow Ostrich Large Tote","H. Flitter",Handbags,Handbags,56943-12082-IMS-MZ,1
14501,945.00," Miu Miu Pink Leather Satchel ","Miu Miu",Handbags,Handbags,58456-14501-EMS-ID,1
17375,175.50," Marc Jacobs Blue Quilted Leather & Denim Shoulder Bag ","Marc Jacobs",Handbags,Handbags,59806-17375-AM-ID,1
17765,2432.00," Christian Dior Brown & Grey Leather & Python Satchel ","Christian Dior",Handbags,Handbags,60452-17765-PSBB-ID,1
25137,130.00,"Bottega Veneta Black Intrecciato Leather Shoulder Bag","Bottega Veneta",Handbags,Handbags,64954-25137-MS-SL,1
31013,120.00," Tods Brown Leather & Lizard Satchel ",Tods,Handbags,Handbags,68513-31013-MS-SL,1
35654,202.50," Fendi Brown Animal Print Canvas & Leather Shoulder Bag ",Fendi,Handbags,Handbags,70596-35654-TM-SL,1
42952,1955.00," Christian Dior Pink & White Quilted Leather Shoulder Bag ","Christian Dior",Handbags,Handbags,75703-42952-IMS-MZ,1
43853,130.00,"Lambertson Truex Multi Color Canvas Shoulder Bag","Lambertson Truex",Handbags,Handbags,76254-43853-S-JM,1
44339,405.00," Chloe Beige & Brown Canvas & Patent Leather Shoulder Bag ",Chloe,Handbags,Handbags,76465-44339-PMS-MZ,1
53917,1380.00," Ralph Lauren Soft Ricky Black Sequin Leather Satchel ","Ralph Lauren",Handbags,Handbags,82431-53917-TMS-SL,1
55951,55.00," Marc Jacobs Bronze Leather Wristlet ","Marc Jacobs",Handbags,Handbags,83818-55951-NM-MZ,1
63585,270.00," Celine Brown Leather Hobo ",Celine,Handbags,Handbags,88774-63585-PSB-MZ,1
64429,364.00,"Chloe Silverado Tan Leather Satchel",Chloe,Handbags,Handbags,89353-64429-PUS-SL,1
67925,1040.00,"Ralph Lauren Red Python Flat Tote","Ralph Lauren",Handbags,Handbags,91794-67925-USB-ID,1
69170,1350.00," Chanel Grey Leather Tote ",Chanel,Handbags,Handbags,65258-69170-MSB-LS,1
70490,2275.00,"Chanel Classic Flap Multi-Color Leather & Raffia Shoulder Bag",Chanel,Handbags,Handbags,93464-70490-ITM-LS,1
